# Testing boundary problem 3
0.176	0.01838	0.01838
0.177	0.01939	0.01939
0.178	0.02041	0.02041
0.179	0.02143	0.02143
0.18	0.02244	0.02244
0.181	0.02346	0.02346
0.182	0.02447	0.02447
0.183	0.02549	0.02549
0.184	0.02651	0.02651
0.185	0.02752	0.02752
0.186	0.02854	0.02854
0.187	0.02956	0.02956
0.188	0.03058	0.03058
0.189	0.03159	0.03159
0.19	0.03261	0.03261
0.191	0.03363	0.03363
0.192	0.03465	0.03465
0.193	0.03567	0.03567
0.194	0.03669	0.03669
0.195	0.0377	0.0377
0.196	0.03872	0.03872
0.197	0.03974	0.03974
0.198	0.04076	0.04076
0.199	0.04178	0.04178
0.2	0.0428	0.0428
0.201	0.04382	0.04382
0.202	0.04484	0.04484
0.203	0.04586	0.04586
0.204	0.04688	0.04688
0.205	0.0479	0.0479
0.206	0.04892	0.04892
0.207	0.04995	0.04995
0.208	0.05097	0.05097
0.209	0.05199	0.05199
0.21	0.05301	0.05301
0.211	0.05403	0.05403
0.212	0.05506	0.05506
0.213	0.05608	0.05608
0.214	0.0571	0.0571
0.215	0.05812	0.05812
0.216	0.05915	0.05915
0.217	0.06017	0.06017
0.218	0.06119	0.06119
0.219	0.06222	0.06222
0.22	0.06324	0.06324
0.221	0.06427	0.06427
0.222	0.06529	0.06529
0.223	0.06631	0.06631
0.224	0.06734	0.06734
0.225	0.06836	0.06836
0.226	0.06939	0.06939
0.227	0.07042	0.07042
0.228	0.07144	0.07144
0.229	0.07247	0.07247
0.23	0.07349	0.07349
0.231	0.07452	0.07452
0.232	0.07555	0.07555
0.233	0.07657	0.07657
0.234	0.0776	0.0776
0.235	0.07863	0.07863
0.236	0.07966	0.07966
0.237	0.08068	0.08068
0.238	0.08171	0.08171
0.239	0.08274	0.08274
0.24	0.08377	0.08377
0.241	0.0848	0.0848
0.242	0.08583	0.08583
0.243	0.08686	0.08686
0.244	0.08789	0.08788
0.245	0.08891	0.08891
0.246	0.08994	0.08994
0.247	0.09097	0.09097
0.248	0.09201	0.09201
0.249	0.09304	0.09304
0.25	0.09407	0.09407
0.251	0.0951	0.0951
0.252	0.09613	0.09613
0.253	0.09716	0.09716
0.254	0.09819	0.09819
0.255	0.09923	0.09923
0.256	0.1003	0.1003
0.257	0.1013	0.1013
0.258	0.1023	0.1023
0.259	0.1034	0.1034
0.26	0.1044	0.1044
0.261	0.1054	0.1054
0.262	0.1065	0.1065
0.263	0.1075	0.1075
0.264	0.1085	0.1085
0.265	0.1096	0.1096
0.266	0.1106	0.1106
0.267	0.1116	0.1116
0.268	0.1127	0.1127
0.269	0.1137	0.1137
0.27	0.1147	0.1147
0.271	0.1158	0.1158
0.272	0.1168	0.1168
0.273	0.1178	0.1178
0.274	0.1189	0.1189
0.275	0.1199	0.1199
0.276	0.121	0.121
0.277	0.122	0.122
0.278	0.123	0.123
0.279	0.1241	0.1241
0.28	0.1251	0.1251
0.281	0.1262	0.1262
0.282	0.1272	0.1272
0.283	0.1282	0.1282
0.284	0.1293	0.1293
0.285	0.1303	0.1303
0.286	0.1314	0.1314
